### first equation  : (1 * (1 + (2 * 6))) = 13
### second equation : ( (1 + 1) * (2 * 6) ) = 24

(1, 1, 2, 6) ('*', '+', '*') [13] [24]
(1, 1, 2, 10) ('*', '+', '+') [13] [24]
(1, 1, 3, 4) ('*', '+', '*') [13] [24]
(1, 1, 3, 8) ('+', '-', '*') [24] [24]
(1, 1, 3, 8) ('*', '*', '*') [24] [24]
(1, 1, 3, 8) ('*', '/', '*') [24.0] [24.0]
(1, 1, 3, 8) ('-', '+', '*') [24] [22]
(1, 1, 3, 8) ('-', '-', '*') [22] [24]
(1, 1, 3, 8) ('/', '*', '*') [24.0] [24.0]
(1, 1, 3, 8) ('/', '/', '*') [24.0] [24.0]
(1, 1, 3, 9) ('*', '+', '+') [13] [24]
(1, 1, 4, 3) ('*', '+', '*') [13] [24]
(1, 1, 4, 6) ('+', '-', '*') [24] [24]
(1, 1, 4, 6) ('*', '*', '*') [24] [24]
(1, 1, 4, 6) ('*', '/', '*') [24.0] [24.0]
(1, 1, 4, 6) ('-', '+', '*') [24] [22]
(1, 1, 4, 6) ('-', '-', '*') [22] [24]
(1, 1, 4, 6) ('/', '*', '*') [24.0] [24.0]
(1, 1, 4, 6) ('/', '/', '*') [24.0] [24.0]
(1, 1, 4, 8) ('*', '+', '+') [13] [24]
(1, 1, 5, 5) ('*', '-', '*') [24] [0]
(1, 1, 5, 5) ('-', '*', '*') [24] [24]
(1, 1, 5, 5) ('-', '/', '*') [24.0] [24.0]
(1, 1, 5, 5) ('/', '-', '*') [24.0] [0]
(1, 1, 5, 7) ('*', '+', '+') [13] [24]
(1, 1, 6, 2) ('*', '+', '*') [13] [24]
(1, 1, 6, 4) ('+', '-', '*') [24] [24]
(1, 1, 6, 4) ('*', '*', '*') [24] [24]
(1, 1, 6, 4) ('*', '/', '*') [24.0] [24.0]
(1, 1, 6, 4) ('-', '+', '*') [24] [22]
(1, 1, 6, 4) ('-', '-', '*') [22] [24]
(1, 1, 6, 4) ('/', '*', '*') [24.0] [24.0]
(1, 1, 6, 4) ('/', '/', '*') [24.0] [24.0]
(1, 1, 6, 6) ('*', '+', '+') [13] [24]
(1, 1, 6, 8) ('/', '+', '*') [49.0] [24.0]
(1, 1, 7, 5) ('*', '+', '+') [13] [24]
(1, 1, 8, 3) ('+', '-', '*') [24] [24]
(1, 1, 8, 3) ('*', '*', '*') [24] [24]
(1, 1, 8, 3) ('*', '/', '*') [24.0] [24.0]
(1, 1, 8, 3) ('-', '+', '*') [24] [22]
(1, 1, 8, 3) ('-', '-', '*') [22] [24]
(1, 1, 8, 3) ('/', '*', '*') [24.0] [24.0]
(1, 1, 8, 3) ('/', '/', '*') [24.0] [24.0]
(1, 1, 8, 4) ('*', '+', '+') [13] [24]
(1, 1, 8, 6) ('/', '+', '*') [49.0] [24.0]
(1, 1, 9, 3) ('*', '+', '+') [13] [24]
(1, 1, 10, 2) ('*', '+', '+') [13] [24]
(1, 2, 1, 7) ('*', '+', '+') [10] [24]
(1, 2, 1, 8) ('*', '+', '*') [10] [24]
(1, 2, 1, 8) ('*', '+', '/') [10.0] [24.0]
(1, 2, 1, 9) ('*', '+', '-') [10] [24]
(1, 2, 2, 4) ('*', '+', '*') [10] [24]
(1, 2, 2, 6) ('*', '+', '+') [10] [24]
(1, 2, 2, 6) ('*', '*', '*') [24] [24]
(1, 2, 2, 6) ('*', '/', '*') [6.0] [24.0]
(1, 2, 2, 6) ('/', '*', '*') [24.0] [6.0]
(1, 2, 2, 10) ('*', '+', '-') [10] [24]
(1, 2, 2, 10) ('*', '*', '+') [24] [24]
(1, 2, 2, 10) ('*', '/', '+') [6.0] [24.0]
(1, 2, 2, 10) ('/', '*', '+') [24.0] [6.0]
(1, 2, 3, 4) ('*', '*', '*') [24] [24]
(1, 2, 3, 4) ('*', '/', '*') [6.0] [24.0]
(1, 2, 3, 4) ('/', '*', '*') [24.0] [6.0]
(1, 2, 3, 5) ('*', '+', '+') [10] [24]
(1, 2, 3, 7) ('+', '+', '*') [24] [24]
(1, 2, 3, 8) ('*', '-', '*') [22] [24]
(1, 2, 3, 8) ('/', '-', '*') [22.0] [24.0]
(1, 2, 3, 9) ('*', '*', '+') [24] [24]
(1, 2, 3, 9) ('*', '/', '+') [6.0] [24.0]
(1, 2, 3, 9) ('-', '+', '*') [28] [24]
(1, 2, 3, 9) ('-', '-', '*') [24] [26]
(1, 2, 3, 9) ('/', '*', '+') [24.0] [6.0]
(1, 2, 4, 2) ('*', '+', '*') [10] [24]
(1, 2, 4, 3) ('*', '*', '*') [24] [24]
(1, 2, 4, 3) ('*', '/', '*') [6.0] [24.0]
(1, 2, 4, 3) ('/', '*', '*') [24.0] [6.0]
(1, 2, 4, 4) ('*', '+', '+') [10] [24]
(1, 2, 4, 6) ('*', '-', '*') [22] [24]
(1, 2, 4, 6) ('/', '-', '*') [22.0] [24.0]
(1, 2, 4, 8) ('*', '*', '+') [24] [24]
(1, 2, 4, 8) ('*', '/', '+') [6.0] [24.0]
(1, 2, 4, 8) ('/', '*', '+') [24.0] [6.0]
(1, 2, 5, 3) ('*', '+', '+') [10] [24]
(1, 2, 5, 5) ('+', '-', '*') [24] [26]
(1, 2, 5, 5) ('-', '-', '*') [22] [24]
(1, 2, 5, 7) ('*', '*', '+') [24] [24]
(1, 2, 5, 7) ('*', '/', '+') [6.0] [24.0]
(1, 2, 5, 7) ('/', '*', '+') [24.0] [6.0]
(1, 2, 5, 10) ('-', '/', '*') [24.0] [48.0]
(1, 2, 6, 2) ('*', '+', '+') [10] [24]
(1, 2, 6, 2) ('*', '*', '*') [24] [24]
(1, 2, 6, 2) ('*', '/', '*') [6.0] [24.0]
(1, 2, 6, 2) ('/', '*', '*') [24.0] [6.0]
(1, 2, 6, 4) ('*', '-', '*') [22] [24]
(1, 2, 6, 4) ('/', '-', '*') [22.0] [24.0]
(1, 2, 6, 6) ('*', '*', '+') [24] [24]
(1, 2, 6, 6) ('*', '/', '+') [6.0] [24.0]
(1, 2, 6, 6) ('/', '*', '+') [24.0] [6.0]
(1, 2, 6, 8) ('*', '/', '*') [24.0] [96.0]
(1, 2, 6, 8) ('/', '*', '*') [96.0] [24.0]
(1, 2, 6, 8) ('/', '/', '*') [24.0] [24.0]
(1, 2, 7, 1) ('*', '+', '+') [10] [24]
(1, 2, 7, 3) ('+', '+', '*') [24] [24]
(1, 2, 7, 5) ('*', '*', '+') [24] [24]
(1, 2, 7, 5) ('*', '/', '+') [6.0] [24.0]
(1, 2, 7, 5) ('/', '*', '+') [24.0] [6.0]
(1, 2, 8, 1) ('*', '+', '*') [10] [24]
(1, 2, 8, 3) ('*', '-', '*') [22] [24]
(1, 2, 8, 3) ('/', '-', '*') [22.0] [24.0]
(1, 2, 8, 4) ('*', '*', '+') [24] [24]
(1, 2, 8, 4) ('*', '/', '+') [6.0] [24.0]
(1, 2, 8, 4) ('/', '*', '+') [24.0] [6.0]
(1, 2, 8, 6) ('*', '/', '*') [24.0] [96.0]
(1, 2, 8, 6) ('/', '*', '*') [96.0] [24.0]
(1, 2, 8, 6) ('/', '/', '*') [24.0] [24.0]
(1, 2, 8, 9) ('/', '+', '*') [74.0] [24.0]
(1, 2, 9, 3) ('*', '*', '+') [24] [24]
(1, 2, 9, 3) ('*', '/', '+') [6.0] [24.0]
(1, 2, 9, 3) ('-', '+', '*') [28] [24]
(1, 2, 9, 3) ('-', '-', '*') [24] [26]
(1, 2, 9, 3) ('/', '*', '+') [24.0] [6.0]
(1, 2, 9, 8) ('/', '+', '*') [74.0] [24.0]
(1, 2, 10, 2) ('*', '*', '+') [24] [24]
(1, 2, 10, 2) ('*', '/', '+') [6.0] [24.0]
(1, 2, 10, 2) ('/', '*', '+') [24.0] [6.0]
(1, 2, 10, 5) ('-', '/', '*') [24.0] [48.0]
(1, 3, 1, 5) ('*', '+', '+') [9] [24]
(1, 3, 1, 6) ('*', '+', '*') [9] [24]
(1, 3, 1, 6) ('*', '+', '/') [9.0] [24.0]
(1, 3, 1, 7) ('*', '+', '-') [9] [24]
